YEAR,DATE,UAV_MEASUREMENT,SENTINEL_MEASUREMENT
2025,2025-03-27,0,1
2025,2025-04-01,0,1
2025,2025-04-03,0,1
2025,2025-04-06,0,1
2025,2025-04-09,1,0
2025,2025-04-11,0,1
2025,2025-04-26,0,1
2025,2025-05-01,0,1
2025,2025-05-03,0,1
2025,2025-05-08,1,0
2025,2025-05-11,0,1
2025,2025-05-13,0,1
2025,2025-05-14,1,0
2025,2025-05-16,0,1
2025,2025-05-19,1,0
2025,2025-06-03,1,0
2025,2025-06-12,1,1
2025,2025-06-19,1,0
2025,2025-06-30,0,1
2025,2025-07-02,0,1
2025,2025-07-04,1,0
2025,2025-07-08,1,0
2025,2025-08-11,1,1
2025,2025-08-19,1,1
2025,2025-08-21,0,1
2026,2026-03-22,0,1
2026,2026-03-27,0,1
2026,2026-04-01,1,1
2026,2026-04-07,1,0
2026,2026-04-15,1,0
2026,2026-04-21,0,1
2026,2026-04-22,1,0
2026,2026-04-28,0,1
2026,2026-05-01,1,1
2026,2026-05-22,1,0
2026,2026-05-26,0,1
2026,2026-05-28,1,1
2026,2026-06-01,1,0
2026,2026-06-19,1,0
2026,2026-06-20,0,1
2026,2026-06-25,0,1
